Chr Gene nSNPs nSims Start Stop Test Pvalue
"1" "ANP32E" 12 1000 148457478 148475084 13.9524680339442 0.269
"1" "ANXA9" 18 1000 149221122 149234738 19.9040185812536 0.317
"1" "AOF2" 16 1000 23218532 23282771 11.6836901700464 0.513
"1" "AP4B1" 26 1000 114239199 114249264 25.4228174608578 0.425
"1" "APCS" 21 1000 157824239 157825285 9.41262949842833 0.856
"1" "APH1A" 13 1000 148504422 148508156 11.4104645669835 0.412
"1" "APITD1" 24 1000 10412745 10434797 4.59837115473461 0.952
"1" "APOA1BP" 17 1000 154828181 154830715 15.5617666957807 0.366
"1" "APOA2" 45 1000 159458706 159460042 34.4777525281292 0.634
"1" "APOBEC4" 8 1000 181882033 181889071 16.5390079694994 0.111
"1" "AQP10" 14 1000 152560215 152564425 10.232710757416 0.603
"1" "ARF1" 17 1000 226336983 226353536 10.281325562957 0.602
"1" "ARHGAP29" 30 1000 94407050 94475895 19.8534281092833 0.628
"1" "ARHGAP30" 26 1000 159283355 159306384 7.4766706765767 0.958
"1" "ARHGEF10L" 51 1e+05 17738916 17896957 89.5453732634775 0.05644
"1" "ARHGEF11" 35 1000 155171255 155281786 9.40510689454924 0.936
"1" "ARHGEF16" 20 1000 3361006 3387537 11.0353207408284 0.796
"1" "ARHGEF19" 21 1000 16397185 16411691 5.9024508440017 0.939
"1" "ARHGEF2" 18 1000 154183268 154214575 4.85220541736649 0.813
"1" "ARID1A" 8 1000 26895108 26981188 0.990296711989606 0.974
"1" "ARID4B" 11 1000 233396832 233558155 3.43430946305702 0.883
"1" "ARL8A" 35 1000 200368599 200380489 32.628585774693 0.461
"1" "ARNT" 25 1000 149048809 149115810 6.0495363632091 0.848
"1" "ARPC5" 13 1e+05 181861954 181871608 44.6659758856892 0.01508
"1" "ARTN" 19 1000 44171578 44175471 32.8172135373761 0.164
"1" "ARV1" 25 1000 229181445 229203102 22.1490345273511 0.437
"1" "ASB17" 9 1000 76157147 76170704 1.8523866387187 0.902
"1" "ASH1L" 17 1000 153571675 153798948 10.6916470836549 0.472
"1" "ASPM" 17 1000 195319879 195382447 33.1022857413767 0.124
"1" "ASTN1" 50 1000 175096825 175400647 60.5872594930232 0.251
"1" "ATAD3A" 11 1000 1437417 1459927 4.59750952184665 0.765
"1" "ATAD3B" 10 1000 1397026 1421445 5.13029504111008 0.664
"1" "ATAD3C" 8 1000 1374931 1395401 3.25400006888871 0.716
"1" "ATF3" 44 1000 210805319 210860739 28.5275343257777 0.787
"1" "ATF6" 55 1e+05 160002707 160195476 89.6917448273611 0.08824
"1" "ATG4C" 20 1000 63022390 63102638 30.4866552920234 0.205
"1" "ATP13A2" 33 1000 17185039 17210854 51.1720613596561 0.179
"1" "ATP1A1" 7 1000 116717358 116748919 6.10083482541166 0.469
"1" "ATP1A2" 48 1000 158352171 158379998 25.5979053489363 0.902
"1" "ATP1A4" 46 1000 158387975 158423391 28.9280217845871 0.838
"1" "ATP1B1" 24 1000 167342570 167368584 27.3612606969231 0.344
"1" "ATP2B4" 36 1e+05 201862550 201979832 69.1521579422341 0.04999
"1" "ATP5F1" 34 1000 111793265 111806048 49.4000645793772 0.164
"1" "ATP6V0B" 21 1000 44213188 44216559 35.9640145647496 0.152
"1" "ATP6V1G3" 16 1000 196758974 196776698 17.7583025992419 0.302
"1" "ATP8B2" 17 1000 152564659 152590404 14.8065549314469 0.463
"1" "ATPAF1" 18 1000 46870997 46906686 6.48120481243897 0.799
"1" "ATPIF1" 12 1000 28435197 28437198 3.68283043530789 0.856
"1" "ATXN7L2" 17 1000 109828083 109836879 11.6186049310803 0.624
"1" "AURKAIP1" 10 1000 1298972 1300681 9.53935000962894 0.359
"1" "AVPR1B" 10 1e+05 204390905 204398105 27.4456885366333 0.04729
"1" "B3GALNT2" 22 1000 233679867 233734404 41.0363561370562 0.123
"1" "B3GALT2" 3 1000 191414798 191422347 2.23552048666076 0.483
"1" "B3GALT6" 16 1000 1157491 1160283 6.80191790928128 0.81
"1" "B4GALT2" 23 1000 44217452 44229427 36.4632732414685 0.164
"1" "B4GALT3" 31 1000 159407724 159413938 21.8851636081681 0.641
"1" "BAI2" 22 1e+05 31965304 32002235 54.4624584191331 0.03941
"1" "BARHL2" 19 1000 90950166 90955382 23.0001947023159 0.281
"1" "BAT2D1" 41 1000 169721289 169829273 44.851580274897 0.368
"1" "BATF3" 18 1000 210926382 210939950 15.1882646960651 0.53
"1" "BCAN" 22 1000 154878363 154895944 26.4339204328949 0.29
"1" "BCAR3" 23 1000 93799936 93919973 22.963025734283 0.406
"1" "BCAS2" 13 1000 114911703 114925788 17.9973513362618 0.22
"1" "BCL10" 41 1000 85504047 85516171 26.1177169444867 0.722
"1" "BCL2L15" 25 1000 114220958 114231692 22.0180465213011 0.461
"1" "BCL9" 39 1000 145479805 145564639 22.8374633466852 0.787
"1" "BEST4" 17 1000 45021843 45026013 6.41439240753493 0.668
"1" "BGLAP" 22 1000 154478574 154479736 6.98954578367809 0.876
"1" "BLZF1" 14 1000 167603817 167632404 5.07565000736259 0.854
"1" "BMP8A" 14 1000 39729904 39768128 18.998655896283 0.246
"1" "BMP8B" 23 1000 39996489 40027120 18.1564191490507 0.618
"1" "BNIPL" 23 1000 149275657 149286698 40.6774115338827 0.109
"1" "BOLA1" 11 1e+05 148137824 148138969 21.9920521421612 0.10127
"1" "BPNT1" 15 1000 218297446 218329814 14.6552423725215 0.426
"1" "BRDT" 18 1000 92187515 92252573 9.09148826872455 0.763
"1" "BRP44" 16 1000 166153933 166171857 4.33512039344608 0.881
"1" "BSDC1" 4 1000 32603362 32632614 0.353386817654313 0.977
"1" "BSND" 36 1000 55237204 55247053 55.8068073937617 0.108
"1" "BTBD8" 16 1000 92318480 92385985 8.25304193760938 0.654
"1" "BTF3L4" 3 1000 52294560 52326650 4.74384250523144 0.193
"1" "BTG2" 22 1000 201541286 201545352 5.69939602876607 0.984
"1" "BXDC5" 16 1000 84717507 84736621 13.9529836816605 0.468
"1" "C1orf100" 37 1e+05 242582559 242619016 68.7192836651758 0.0441
"1" "C1orf101" 35 1000 242691315 242870285 55.4780799076363 0.106
"1" "C1orf102" 32 1000 36656093 36688639 26.3397602317824 0.498
"1" "C1orf103" 18 1000 111291334 111308089 8.44065470234821 0.834
"1" "C1orf104" 10 1000 153556874 153560562 3.69569530897472 0.604
"1" "C1orf105" 32 1000 170656452 170704589 36.3650888743908 0.321
"1" "C1orf106" 19 1000 199127291 199151486 12.065347090789 0.729
"1" "C1orf107" 24 1000 208067955 208097531 8.51234085649357 0.846
"1" "C1orf109" 36 1000 37919828 37928779 24.8699631664559 0.66
"1" "C1orf110" 41 1000 161090710 161105229 38.1624018766608 0.479
"1" "C1orf111" 41 1000 160610138 160613268 32.7895293269981 0.585
"1" "C1orf112" 30 1e+05 168031173 168088853 58.8683606818593 0.09991
"1" "C1orf113" 17 1000 36545304 36563073 11.0437159003875 0.585
"1" "C1orf114" 16 1000 167630737 167663294 4.64129029322322 0.924
"1" "C1orf115" 19 1000 218930250 218939122 28.8966524620339 0.198
"1" "C1orf116" 24 1000 205258488 205272724 9.26003897933487 0.836
"1" "C1orf122" 11 1000 38046555 38047713 7.3692684343623 0.573
"1" "C1orf123" 27 1000 53452359 53458877 36.226332082654 0.198
"1" "C1orf124" 17 1e+05 229540304 229556612 43.4228136447724 0.07877
"1" "C1orf125" 52 1000 177601737 177790493 55.0966877195503 0.398
"1" "C1orf127" 22 1000 10929119 10946845 18.4963114349817 0.56
"1" "C1orf128" 15 1000 23977474 23987309 8.50016708260995 0.589
"1" "C1orf129" 22 1000 169171259 169234570 33.3734323156267 0.139
"1" "C1orf130" 27 1000 24755188 24808403 23.040528419389 0.513
"1" "C1orf131" 25 1000 229426131 229443547 42.2493865160757 0.139
"1" "C1orf135" 22 1e+05 26033083 26058435 77.1971577105026 0.02178
"1" "C1orf14" 7 1000 181135622 181189176 0.507758109753071 0.996
"1" "C1orf141" 29 1000 67330446 67366808 33.4404963061164 0.316
"1" "C1orf142" 20 1000 225989319 226035550 17.3902623261985 0.476
"1" "C1orf144" 11 1000 16566169 16597227 15.5272201594925 0.19
"1" "C1orf146" 7 1000 92456160 92483955 2.16960158340902 0.715
"1" "C1orf149" 21 1000 37730762 37752951 16.6604436717138 0.582
"1" "C1orf150" 24 1000 245779073 245806471 14.431354767885 0.775
"1" "C1orf151" 24 1000 19796053 19827761 5.68016962377327 0.991
"1" "C1orf156" 16 1e+05 168028295 168030655 43.9584976036101 0.03639
"1" "C1orf157" 26 1000 202268197 202277011 27.3576751340808 0.395
"1" "C1orf158" 33 1000 12728749 12743689 14.6093773521138 0.794
"1" "C1orf159" 19 1e+05 1007060 1041599 43.5444560550877 0.03992
"1" "C1orf161" 19 1000 116455898 116479384 17.0415813453911 0.455
"1" "C1orf162" 28 1000 111818126 111822657 45.5576075456149 0.127
"1" "C1orf163" 22 1000 52925101 52936626 17.5662085060621 0.522
"1" "C1orf165" 22 1000 48966126 49015134 18.4706318717282 0.539
"1" "C1orf168" 42 1000 56957064 57057957 57.982941874189 0.135
"1" "C1orf172" 10 1000 27148647 27159484 3.19846495163873 0.862
"1" "C1orf173" 36 1000 74806382 74912010 21.8858229473676 0.73
"1" "C1orf174" 14 1000 3795556 3806709 5.31345288660563 0.899
"1" "C1orf175" 48 1e+05 54880031 54948527 81.3084159675038 0.08208
"1" "C1orf176" 15 1000 40747019 40754801 9.50081517050248 0.615
"1" "C1orf177" 28 1000 55044323 55080525 9.69110324332367 0.909
"1" "C1orf182" 22 1000 154573728 154583409 9.26965779353747 0.769
"1" "C1orf183" 33 1000 112069892 112099942 26.9760895397792 0.504
"1" "C1orf186" 15 1e+05 204405494 204455270 29.5144697506712 0.08407
"1" "C1orf187" 38 1000 11674367 11702923 48.2533382927292 0.237
"1" "C1orf189" 18 1000 152438471 152445433 21.6304538975409 0.286
"1" "C1orf190" 24 1000 46441592 46509912 9.11316598443792 0.842
"1" "C1orf192" 6 1000 159601144 159604288 1.59873941489191 0.87
"1" "C1orf194" 16 1000 109450095 109458002 12.6768818415135 0.606
"1" "C1orf198" 27 1000 229039488 229070900 12.8541016530916 0.925
"1" "C1orf2" 22 1000 153483619 153491898 10.213818990035 0.605
"1" "C1orf201" 30 1000 24556075 24600536 10.1000195428502 0.932
"1" "C1orf21" 45 1e+05 182622772 182864778 125.538551753957 0.01485
"1" "C1orf210" 23 1000 43520143 43523837 17.1070637622032 0.579
"1" "C1orf212" 21 1000 35091710 35097932 10.2468409281833 0.888
"1" "C1orf213" 17 1000 23568050 23570866 20.938804162775 0.254
"1" "C1orf216" 10 1000 35952063 35957377 1.33538737048563 0.921
"1" "C1orf220" 24 1000 176778553 176784647 14.2897282207354 0.587
"1" "C1orf222" 13 1000 1843255 1849228 6.92353990185543 0.673
"1" "C1orf25" 19 1000 183353840 183392739 13.8032462121826 0.523
"1" "C1orf26" 26 1000 183392814 183527536 15.3814080097759 0.562
"1" "C1orf27" 23 1000 184611623 184657126 30.1053534001026 0.267
"1" "C1orf31" 32 1000 232576051 232586414 36.9242010222513 0.294
"1" "C1orf32" 24 1000 165154619 165211185 20.7549235500545 0.481
"1" "C1orf35" 12 1000 226355050 226357645 7.83392480806126 0.562
"1" "C1orf38" 13 1e+05 28071641 28085780 26.2739399032439 0.09627
"1" "C1orf43" 20 1000 152445806 152459897 23.1358634603261 0.304
"1" "C1orf49" 23 1000 176748834 176758407 14.9780060932853 0.583
"1" "C1orf50" 16 1000 43005502 43014002 5.69080750881077 0.842
"1" "C1orf51" 15 1000 148521852 148526125 11.8946954655286 0.465
"1" "C1orf52" 39 1000 85490243 85497913 21.7709717352095 0.786
"1" "C1orf53" 15 1000 196138399 196143120 24.468585613593 0.149
"1" "C1orf54" 15 1000 148511821 148519951 12.9333721732704 0.48
"1" "C1orf55" 19 1000 224237025 224253689 7.16260942352972 0.837
"1" "C1orf56" 21 1e+05 149286882 149290495 40.1882316416258 0.09659
"1" "C1orf57" 18 1000 231152992 231180842 14.4734987785563 0.486
"1" "C1orf58" 18 1000 220952528 220972729 5.30146591802536 0.877
"1" "C1orf59" 5 1000 108992432 109005671 10.930417273482 0.113
"1" "C1orf61" 22 1000 154640678 154665808 5.97578575941447 0.993
"1" "C1orf62" 38 1000 109160047 109201239 34.2884904198719 0.502
"1" "C1orf63" 7 1000 25441326 25446572 2.00172548119756 0.911
"1" "C1orf64" 27 1000 16203317 16205771 15.9390971188316 0.693
"1" "C1orf65" 12 1000 221633390 221635435 17.6202813511378 0.22
"1" "C1orf66" 21 1000 154964901 154973365 16.179859267204 0.522
"1" "C1orf67" 13 1000 223183985 223222249 5.34590008446087 0.766
"1" "C1orf69" 15 1000 226420051 226436581 13.3748559305695 0.382
"1" "C1orf70" 12 1000 1460020 1465603 4.59883114360601 0.843
"1" "C1orf71" 33 1000 244796428 244897049 22.7765477570885 0.682
"1" "C1orf74" 23 1000 208022284 208024513 28.5769920010859 0.295
"1" "C1orf77" 24 1000 151873148 151884603 24.089521217468 0.316
"1" "C1orf83" 28 1000 54291861 54338004 10.0685134923987 0.934
"1" "C1orf84" 15 1000 43628142 43645152 7.94367550458503 0.549
"1" "C1orf85" 21 1000 154529107 154532073 10.7562558863412 0.537
"1" "C1orf86" 11 1000 2110847 2116074 6.68288441602952 0.606
"1" "C1orf87" 36 1000 60228653 60312014 38.4562914111525 0.336
"1" "C1orf88" 46 1000 111690717 111697162 39.3192732789639 0.508
"1" "C1orf89" 13 1000 16430781 16436033 3.83656991904736 0.888
"1" "C1orf9" 16 1000 170768882 170847596 12.5461781219713 0.53
"1" "C1orf91" 10 1e+05 32454384 32460513 21.340694595715 0.09094
"1" "C1orf92" 23 1000 155157047 155169504 8.44346901632866 0.837
"1" "C1orf93" 20 1e+05 2508108 2512762 61.1250299477971 0.04447
"1" "C1orf94" 37 1000 34405210 34457318 48.8300277977804 0.2
"1" "C1orf95" 40 1000 224803123 224859926 23.6153947752988 0.86
"1" "C1orf96" 19 1e+05 227523374 227545311 50.9278884052389 0.04077
"1" "C1QA" 20 1000 22835704 22838762 5.75236661281377 0.955
"1" "C1QB" 17 1000 22852268 22860616 6.08500088693636 0.892
"1" "C1QC" 18 1000 22842704 22847190 4.60362942174512 0.971
"1" "C4BPA" 23 1000 205344229 205384940 6.29123864822637 0.976
"1" "C4BPB" 24 1000 205328834 205339960 6.70234765816663 0.97
"1" "C8A" 36 1000 57093066 57156482 27.1413415623266 0.679
"1" "C8B" 25 1000 57167470 57204276 21.6857168941356 0.535
"1" "CA14" 14 1000 148496841 148504102 14.4869909496988 0.4
"1" "CA6" 45 1000 8928508 8957735 44.3544549877795 0.449
"1" "CABC1" 46 1000 225194560 225241869 40.0195117086915 0.476
"1" "CACHD1" 60 1e+05 64709063 64931329 116.010795442119 0.01892
"1" "CACNA1E" 63 1000 179719338 180037338 46.1973782385761 0.7
"1" "CACNA1S" 76 1000 199275262 199348317 43.1262519146339 0.873
"1" "CACYBP" 11 1000 173235193 173247786 2.44117714745527 0.923
"1" "CADM3" 22 1000 157408000 157439556 19.8998848837769 0.473
"1" "CALML6" 13 1000 1836125 1838593 7.7640610720788 0.602
"1" "CAMK1G" 35 1000 207823667 207853907 27.0781733823569 0.61
"1" "CAMK2N1" 32 1000 20681470 20685315 33.3728270336804 0.376
"1" "CAMSAP1L1" 31 1000 198975308 199096454 9.83809155689659 0.954
"1" "CAMTA1" 238 1000 6767970 7752351 256.852918141947 0.344
"1" "CAP1" 18 1000 40278841 40310908 16.9240769739815 0.425
"1" "CAPN2" 37 1000 221966741 222030343 48.9538058552276 0.247
"1" "CAPN9" 64 1000 228949752 229004372 96.0290677329278 0.139
"1" "CAPZA1" 14 1e+05 112963597 113015764 41.7151124204561 0.03033
"1" "CAPZB" 44 1000 19537859 19684579 25.7729063583108 0.797
"1" "CASP9" 22 1000 15691381 15723377 39.5517689384861 0.123
"1" "CASQ1" 37 1000 158426988 158438300 23.3389601232307 0.774
"1" "CASQ2" 51 1000 116044148 116112949 32.9602603223018 0.711
"1" "CASZ1" 46 1000 10619252 10779294 23.00789727417 0.959
"1" "CATSPER4" 33 1000 26389705 26401620 19.8091261981619 0.716
"1" "CC2D1B" 8 1000 52588854 52604452 11.5797192129246 0.216
"1" "CCBL2" 22 1000 89174043 89231104 36.4275921461087 0.143
"1" "CCDC17" 7 1000 45858302 45862316 12.9179870075877 0.162
"1" "CCDC18" 13 1000 93418507 93516856 8.15584547174958 0.556
"1" "CCDC19" 48 1000 158108777 158136530 39.4690347594666 0.565
"1" "CCDC21" 34 1000 26433279 26477886 17.9966722671578 0.755
"1" "CCDC23" 18 1000 43045319 43055510 7.41309784801514 0.866
"1" "CCDC24" 21 1000 44229866 44234785 32.2998750442542 0.175
"1" "CCDC27" 33 1000 3658821 3678069 26.0491686262714 0.604
"1" "CCDC28B" 8 1e+05 32438788 32443578 21.3345460068421 0.06371
"1" "CCDC76" 9 1e+05 100371306 100388641 19.6628090906308 0.10029
"1" "CCNL2" 12 1000 1310953 1324553 10.437174934111 0.406
"1" "CCT3" 27 1000 154545375 154574819 11.2624838455914 0.762
"1" "CD160" 12 1000 144407154 144426922 3.85007742832418 0.859
"1" "CD164L2" 12 1000 27578182 27582392 2.15629597990097 0.966
"1" "CD1A" 9 1000 156490550 156494682 6.85286685155674 0.459
"1" "CD1B" 12 1000 156564363 156567945 10.2089948717068 0.474
"1" "CD1C" 11 1000 156526186 156531188 6.57601677888503 0.6
"1" "CD1D" 10 1000 156416360 156422840 9.627710769716 0.41
"1" "CD1E" 16 1000 156590163 156593967 14.4280157243331 0.449
"1" "CD2" 19 1e+05 117098608 117113374 42.452410316581 0.04576
"1" "CD244" 25 1000 159066573 159099269 16.8218022761455 0.589
"1" "CD247" 58 1000 165666500 165754471 57.6536266298221 0.449
"1" "CD34" 23 1000 206126505 206151306 11.9150152706824 0.811
"1" "CD46" 15 1000 205992024 206035481 17.9698420298085 0.255
"1" "CD48" 29 1000 158915159 158948209 17.0849691302615 0.851
"1" "CD52" 30 1000 26516997 26519601 16.466288908134 0.729
"1" "CD53" 25 1000 111215343 111244081 7.79866904467774 0.942
"1" "CD55" 13 1000 205561439 205600934 17.6635335786925 0.237
"1" "CD58" 25 1000 116858679 116915126 24.7247586614916 0.373
"1" "CD5L" 13 1000 156067327 156078258 11.6144731028811 0.462
"1" "CD84" 17 1000 158782410 158815875 9.82296808215576 0.617
"1" "CDA" 62 1000 20788030 20817987 48.9880234995045 0.586
"1" "CDC14A" 35 1000 100590610 100758421 35.6432079111126 0.378
"1" "CDC20" 14 1000 43597212 43601460 10.0075136610404 0.447
"1" "CDC2L1" 5 1000 1560962 1645635 3.11552701755499 0.584
"1" "CDC2L2" 4 1000 1624029 1645651 3.11420539579564 0.427
"1" "CDC42" 17 1000 22251706 22292023 6.57950490171501 0.87
"1" "CDC42BPA" 64 1000 225244188 225572449 46.3719424976556 0.602
"1" "CDC42SE1" 22 1e+05 149290070 149298749 41.3389443715301 0.104
"1" "CDC7" 27 1000 91739031 91763902 24.9877565040456 0.47
"1" "CDC73" 13 1000 191357783 191487679 19.6475400263897 0.205
"1" "CDCA8" 36 1000 37930745 37947978 22.6121331997558 0.737
"1" "CDCP2" 36 1000 54377255 54392031 10.8367211411851 0.978
"1" "CDKN2C" 7 1000 51206954 51212897 6.06541287968883 0.411
"1" "CELSR2" 32 1000 109594163 109619901 26.0556919237443 0.544
"1" "CENPF" 31 1000 212843154 212904537 11.2632446498449 0.873
"1" "CENPL" 5 1000 172035310 172060649 4.74390098270676 0.446
"1" "CENTB5" 11 1000 1218806 1228503 8.22827091985353 0.504
"1" "CEP170" 8 1000 241354352 241485331 1.07678287528523 0.948
"1" "CEP350" 31 1000 178190530 178350638 35.2681044156845 0.307
"1" "CEPT1" 31 1000 111483771 111529247 13.7745591483269 0.905
"1" "CFH" 15 1000 194887630 194983257 11.5373469449201 0.51
"1" "CFHR1" 3 1000 195055483 195067942 4.78335272372567 0.192
"1" "CFHR2" 10 1000 195179556 195194979 5.92823347524631 0.557
"1" "CFHR3" 5 1000 195010552 195029496 4.63265183364797 0.375
"1" "CFHR4" 9 1000 195123834 195154386 9.91613869946298 0.337
"1" "CFHR5" 13 1000 195213289 195245426 21.9935889024675 0.151
"1" "CGN" 18 1000 149750485 149777791 15.2499248123905 0.519
"1" "CHD1L" 36 1000 145180914 145234067 58.2273479946109 0.147
"1" "CHD5" 41 1000 6084439 6162770 44.2635696121206 0.351
"1" "CHI3L1" 43 1000 201414681 201422545 30.6137530177198 0.718
"1" "CHI3L2" 39 1000 111571803 111587585 24.0674212676594 0.821
"1" "CHIA" 52 1000 111635006 111664708 34.3126377349847 0.736
"1" "CHIT1" 36 1000 201451829 201465483 25.1938419349784 0.729
"1" "CHML" 26 1000 239858789 239865855 21.2088622352988 0.591
"1" "CHRM3" 87 1000 237858995 238139340 73.2439526228312 0.651
"1" "CHRNB2" 18 1e+05 152806880 152818977 42.0516846923178 0.05874
"1" "CITED4" 27 1000 41099314 41100605 28.4237341814605 0.389
"1" "CKS1B" 12 1000 153213837 153218346 3.55407315848289 0.889
"1" "CLCA1" 39 1000 86707113 86738562 49.7719184461368 0.225
"1" "CLCA2" 39 1000 86662356 86694828 41.6872008740096 0.346
"1" "CLCA3" 11 1000 86872546 86893647 21.4820565848901 0.116
"1" "CLCA4" 17 1000 86785346 86819020 30.7340433904007 0.114
"1" "CLCC1" 22 1000 109273652 109307634 13.7039796256438 0.636
"1" "CLCN6" 50 1e+05 11788793 11825788 139.924502461975 0.02708
"1" "CLCNKA" 29 1000 16221072 16233132 17.3211522224783 0.721
"1" "CLCNKB" 26 1000 16242833 16256390 11.6028786842111 0.855
"1" "CLDN19" 12 1000 42971350 42978512 3.05650191601072 0.919
"1" "CLIC4" 26 1000 24944434 25043346 48.7093169446852 0.101
"1" "CLK2" 24 1000 153499282 153509905 12.0584490931931 0.533
"1" "CLSPN" 11 1000 35974404 36008138 1.91808365677893 0.849
"1" "CLSTN1" 30 1e+05 9711665 9807137 55.0156208399567 0.09446
"1" "CMPK1" 13 1000 47572174 47617098 20.2809073256673 0.199
"1" "CNIH3" 49 1000 222870801 222994872 53.2933754727671 0.353
"1" "CNIH4" 13 1000 222611217 222630318 3.49661764415073 0.925
"1" "CNKSR1" 31 1000 26376567 26388962 18.7150389467863 0.71
"1" "CNN3" 36 1000 95135094 95165323 39.2343963940135 0.335
